,CW,FAB,Low_PGD1,DeepFool,PGD,BIM,Low_PGD2,Square,FGSM,AutoAttack,Low_CW
CW,78.52,74.37,69.53,77.76,68.92,72.18,73.97,73.56,79.36,68.14,76.02
FAB,76.55,76.46,65.64,78.39,58.53,58.57,71.09,78.15,74.02,61.52,66.73
Low_PGD1,80.75,64.63,59.75,72.63,66.8,72.77,81.46,70.26,65.4,73.27,72.64
DeepFool,75.73,83.33,67.29,74.94,54.86,57.48,67.29,79.52,72.89,59.76,73.52
PGD,57.63,31.42,34.39,26.7,97.23,98.19,75.72,37.67,52.43,95.32,36.64
BIM,55.44,28.08,31.97,31.34,95.76,98.02,72.02,39.29,50.25,93.13,38.47
Low_PGD2,79.34,67.23,60.0,64.37,80.81,83.87,68.78,68.7,68.19,85.91,68.54
Square,75.13,80.85,55.91,81.09,66.64,66.76,74.63,85.4,74.05,72.1,70.5
FGSM,88.83,79.05,65.67,77.61,68.76,71.77,69.9,84.17,93.41,77.14,70.72
AutoAttack,59.05,32.47,31.78,28.99,98.28,98.0,72.65,47.21,61.76,93.93,37.38
Low_CW,84.22,78.3,71.12,78.28,60.15,72.04,72.49,73.62,64.95,64.14,57.16
